longitude	latitude	code	station	location
-4.10734	38.68712	ES	Puertollano	Europe/Madrid
-87.93341	42.55308	US	Pleasant Prairie	America/Chicago
29.26639	37.58105	TR	Serinhisar	Europe/Istanbul
2.95924	36.76775	DZ	Cheraga	Africa/Algiers
-71.08977	41.9001	US	Taunton	America/New_York
138.31667	36.65	JP	Suzaka	Asia/Tokyo
43.38531	9.89206	SO	Baki	Africa/Mogadishu
-1.325	38.47917	ES	Jumilla	Europe/Madrid
30.28491	60.02427	RU	Kolomyagi	Europe/Moscow
46.04833	51.40944	RU	Privolzhskiy	Europe/Saratov
-58.38341	-34.64966	AR	Barracas	America/Argentina/Buenos_Aires
60.70278	55.75556	RU	Ozersk	Asia/Yekaterinburg
111.4834	65.93381	RU	Aykhal	Asia/Yakutsk
-34.88111	-8.05389	BR	Recife	America/Recife
-41.25528	-19.32556	BR	Resplendor	America/Sao_Paulo
-3.52751	50.7236	GB	Exeter	Europe/London
-97.92977	38.06084	US	Hutchinson	America/Chicago
-0.76667	53.38333	GB	Gainsborough	Europe/London
34.4587	-13.7804	MW	Salima	Africa/Blantyre
137.02166	35.48199	JP	Minokamo	Asia/Tokyo
4.92235	7.65649	NG	Efon-Alaaye	Africa/Lagos
-82.45426	27.09978	US	Venice	America/New_York
100.24529	5.4709	MY	Batu Feringgi	Asia/Kuala_Lumpur
2.59753	8.88649	BJ	Tchaourou	Africa/Porto-Novo
-73.81669	45.44868	CA	Pointe-Claire	America/Toronto
123.50266	41.94175	CN	Hushitai	Asia/Shanghai
103.81667	1.6	MY	Ulu Tiram	Asia/Kuala_Lumpur
8.64409	48.07667	DE	Trossingen	Europe/Berlin
103.65309	16.0567	TH	Roi Et	Asia/Bangkok
75.37991	25.75728	IN	Deoli	Asia/Kolkata
73.06784	25.13915	IN	Sheoganj	Asia/Kolkata
-117.79394	33.76446	US	North Tustin	America/Los_Angeles
-113.3187	53.51684	CA	Sherwood Park	America/Edmonton
117.33333	34.85	CN	Taozhuang	Asia/Shanghai
12.16179	48.52961	DE	Landshut	Europe/Berlin
-117.23991	47.64995	US	Opportunity	America/Los_Angeles
73.85535	18.51957	IN	Pune	Asia/Kolkata
152.70493	-25.54073	AU	Maryborough	Australia/Brisbane
102.56365	13.65805	KH	Paoy Paet	Asia/Phnom_Penh
-88.64235	46.09273	US	Iron River	America/Menominee
8.91229	49.13645	DE	Eppingen	Europe/Berlin
123.62494	12.37169	PH	Masbate	Asia/Manila
120.57224	15.72892	PH	Burgos	Asia/Manila
10.5511	52.47774	DE	Gifhorn	Europe/Berlin
113.69785	-7.73379	ID	Besuki	Asia/Jakarta
-74.28459	40.5576	US	Woodbridge	America/New_York
24.43973	0.76755	CD	Yangambi	Africa/Lubumbashi
-93.08883	45.16024	US	Lino Lakes	America/Chicago
16.43915	43.50891	HR	Split	Europe/Zagreb
51.0193	35.6803	IR	Shahre Jadide Andisheh	Asia/Tehran
-75.87877	5.6561	CO	Andes	America/Bogota
-62.64102	8.35122	VE	Ciudad Guayana	America/Caracas
119.58627	23.5654	TW	Magong	Asia/Taipei
9.5926	52.86147	DE	Walsrode	Europe/Berlin
114.51667	33.78333	CN	Wacheng	Asia/Shanghai
109.3243	-7.0981	ID	Randudongkal	Asia/Jakarta
111.50861	32.54278	CN	Danjiangkou	Asia/Shanghai
-73.25383	-3.74912	PE	Iquitos	America/Lima
102.42587	15.58552	TH	Bua Yai	Asia/Bangkok
101.02083	4.02219	MY	Teluk Intan	Asia/Kuala_Lumpur
-6.03731	37.35813	ES	San Juan de Aznalfarache	Europe/Madrid
-93.12577	44.73941	US	Rosemount	America/Chicago
-7.95	53.43333	IE	Athlone	Europe/Dublin
-4.83076	39.96348	ES	Talavera de la Reina	Europe/Madrid
51.67462	32.65246	IR	Isfahan	Asia/Tehran
-2.68758	53.69786	GB	Leyland	Europe/London
6.83042	6.15038	NG	Nkpor	Africa/Lagos
23.225	43.4125	BG	Montana	Europe/Sofia
-73.26022	6.46838	CO	Socorro	America/Bogota
98.19151	14.0823	MM	Dawei	Asia/Yangon
43.63417	43.96222	RU	Novopavlovsk	Europe/Moscow
141.95	39.46667	JP	Yamada	Asia/Tokyo
78.40102	27.9247	IN	Chharra	Asia/Kolkata
2.29026	48.77644	FR	Sceaux	Europe/Paris
0.57856	40.70995	ES	Amposta	Europe/Madrid
-81.56929	41.55838	US	Collinwood	America/New_York
42.85693	39.22493	TR	Patnos	Europe/Istanbul
79.883	6.9909	LK	Hendala	Asia/Colombo
10.30215	53.94313	DE	Bad Segeberg	Europe/Berlin
34.37389	40.1675	TR	Sungurlu	Europe/Istanbul
-1.47217	53.46506	GB	Chapletown	Europe/London
-67.15407	18.42745	PR	Aguadilla	America/Puerto_Rico
77.23826	11.50526	IN	Sathyamangalam	Asia/Kolkata
-95.36969	35.74788	US	Muskogee	America/Chicago
77.40858	24.05979	IN	Leteri	Asia/Kolkata
88.58	23.18	IN	Aistala	Asia/Kolkata
86.51499	23.1959	IN	Kenda	Asia/Kolkata
19.27498	50.20528	PL	Jaworzno	Europe/Warsaw
2.29275	48.79325	FR	Fontenay-aux-Roses	Europe/Paris
99.96667	8.43333	TH	Nakhon Si Thammarat	Asia/Bangkok
-72.27814	42.93369	US	Keene	America/New_York
-93.11308	16.75973	MX	Tuxtla	America/Mexico_City
53.26023	54.39304	RU	Bavly	Europe/Moscow
-84.62081	42.7392	US	Waverly	America/Detroit
-1.98956	5.30383	GH	Tarkwa	Africa/Accra
68.49143	25.80565	PK	Bhit Shah	Asia/Karachi
-111.90466	40.34912	US	Saratoga Springs	America/Denver
24.14662	65.84811	FI	Tornio	Europe/Helsinki
-41.88778	-21.205	BR	Itaperuna	America/Sao_Paulo
-1.29772	50.76306	GB	Cowes	Europe/London
114.33333	-8.43333	ID	Muncar	Asia/Jakarta
15.006139	49.144482	CZ	Jindřichův Hradec	Europe/Prague
35.34722	-23.85972	MZ	Maxixe	Africa/Maputo
-79.62098	9.15093	PA	Chilibre	America/Panama
77.70636	28.98002	IN	Meerut	Asia/Kolkata
14.01481	42.67164	IT	Roseto degli Abruzzi	Europe/Rome
-104.83192	39.72943	US	Aurora	America/Denver
72.54064	31.82539	PK	Sillanwali	Asia/Karachi
31.33078	47.56494	UA	Voznesensk	Europe/Kyiv
-104.22884	32.42067	US	Carlsbad	America/Denver
123.89071	10.31672	PH	Cebu City	Asia/Manila
30.98551	2.41669	UG	Paidha	Africa/Kampala
-73.9625	40.81	US	Morningside Heights	America/New_York
37.56667	55.85	RU	Likhobory	Europe/Moscow
43.91385	54.03876	RU	Kovylkino	Europe/Moscow
-66.8499	18.03496	PR	Yauco	America/Puerto_Rico
-39.25	-12.91667	BR	Muritiba	America/Bahia
8.70745	49.03685	DE	Bretten	Europe/Berlin
5.51978	51.44889	NL	Tongelre	Europe/Amsterdam
-96.72365	17.06542	MX	Oaxaca	America/Mexico_City
-111.99633	40.65995	US	Kearns	America/Denver
71.52847	32.57756	PK	Mianwali	Asia/Karachi
2.18247	41.41204	ES	el Camp de l'Arpa del Clot	Europe/Madrid
5.06258	7.50251	NG	Igbara-Odo	Africa/Lagos
-73.47429	40.68066	US	Massapequa	America/New_York
4.52529	50.71229	BE	Rixensart	Europe/Brussels
37.73333	-4.06667	TZ	Same	Africa/Dar_es_Salaam
-0.18333	38.96667	ES	Gandia	Europe/Madrid
46.83187	14.53767	YE	Ataq	Asia/Aden
5.74861	52.71083	NL	Emmeloord	Europe/Amsterdam
-88.70464	34.25807	US	Tupelo	America/Chicago
39.85331	57.30185	RU	Gavrilov-Yam	Europe/Moscow
-73.86586	45.43341	CA	Beaconsfield	America/Toronto
36.7138	35.95664	SY	Binnish	Asia/Damascus
10.98461	48.35693	DE	Friedberg	Europe/Berlin
29.24152	-26.93366	ZA	Standerton	Africa/Johannesburg
29.91582	31.20176	EG	Alexandria	Africa/Cairo
4.8951	44.92801	FR	Valence	Europe/Paris
99.1625	3.3285	ID	Tebingtinggi	Asia/Jakarta
-120.43572	34.95303	US	Santa Maria	America/Los_Angeles
4.86667	45.51667	FR	Vienne	Europe/Paris
-77.03116	3.8801	CO	Buenaventura	America/Bogota
-105.36369	22.49396	MX	Acaponeta	America/Mazatlan
47.1192	42.819	RU	Buynaksk	Europe/Moscow
2.12213	48.8222	FR	Le Chesnay	Europe/Paris
72.93924	18.87813	IN	Uran	Asia/Kolkata
-73.58248	45.40008	CA	Sainte-Catherine	America/Toronto
79.41727	12.25282	IN	Gingee	Asia/Kolkata
35.90057	56.85836	RU	Tver	Europe/Moscow
-73.0515	41.55815	US	Waterbury	America/New_York
122.05228	37.19723	CN	Tianfu	Asia/Shanghai
-122.38731	45.53929	US	Troutdale	America/Los_Angeles
72.54566	29.69221	PK	Hasilpur	Asia/Karachi
130.57211	45.75279	CN	Boli	Asia/Shanghai
-81.77285	28.54944	US	Clermont	America/New_York
9.40531	45.53069	IT	Gorgonzola	Europe/Rome
8.63333	52.2	DE	Kirchlengern	Europe/Berlin
85.4265	55.8736	RU	Yashkino	Asia/Novokuznetsk
57.3552	51.4781	RU	Kuvandyk	Asia/Yekaterinburg
68.21204	27.55898	PK	Larkana	Asia/Karachi
1.53414	42.50729	AD	les Escaldes	Europe/Andorra
-37.65	-10.91722	BR	Lagarto	America/Maceio
91.84128	22.83957	BD	Manikchari	Asia/Dhaka
-88.31476	36.61033	US	Murray	America/Chicago
-90.10674	29.84576	US	Estelle	America/Chicago
122.8637	9.3337	PH	Santa Catalina	Asia/Manila
4.85668	36.27462	DZ	Bordj Zemoura	Africa/Algiers
-71.23106	-32.45242	CL	La Ligua	America/Santiago
106.85417	-6.48167	ID	Cibinong	Asia/Jakarta
-73.97069	40.64621	US	Kensington	America/New_York
137.5	34.9	JP	Shinshiro	Asia/Tokyo
60.8019	56.9083	RU	Beryozovsky	Asia/Yekaterinburg
-103.42897	20.28527	MX	Jocotepec	America/Mexico_City
6.51352	51.19139	DE	Korschenbroich	Europe/Berlin
-74.01042	41.50343	US	Newburgh	America/New_York
27.02444	39.59611	TR	Edremit	Europe/Istanbul
-119.01677	36.06523	US	Porterville	America/Los_Angeles
89.11943	23.9028	BD	Kushtia	Asia/Dhaka
15.87735	4.94273	CF	Carnot	Africa/Bangui
-86.58208	13.48082	NI	Somoto	America/Managua
-95.63079	31.76212	US	Palestine	America/Chicago
84.87144	47.46657	KZ	Zaysan	Asia/Almaty
-74.26419	4.73245	CO	Madrid	America/Bogota
-91.58045	41.6764	US	Coralville	America/Chicago
-42.98194	-22.53722	BR	Guapimirim	America/Sao_Paulo
-86.57415	15.48131	HN	Olanchito	America/Tegucigalpa
14.317466	48.812737	CZ	Český Krumlov	Europe/Prague
-88.42814	42.16808	US	Huntley	America/Chicago
-117.29198	33.03699	US	Encinitas	America/Los_Angeles
122.9666	10.7375	PH	Talisay	Asia/Manila
-71.05977	42.35843	US	Boston	America/New_York
126.665	36.6009	KR	Hongseong	Asia/Seoul
10.03478	37.16911	TN	El Alia	Africa/Tunis
18.84	42.28639	ME	Budva	Europe/Podgorica
16.4	48.25	AT	Floridsdorf	Europe/Vienna
6.9747	50.82709	DE	Wesseling	Europe/Berlin
76.92421	60.97944	RU	Izluchinsk	Asia/Yekaterinburg
18.28333	59.33333	SE	Boo	Europe/Stockholm
-2.09814	57.14369	GB	Aberdeen	Europe/London
120.56528	14.66	PH	Pilar	Asia/Manila
135.31667	34.25	JP	Iwade	Asia/Tokyo
101.96857	4.88441	MY	Gua Musang	Asia/Kuala_Lumpur
11.32903	50.9803	DE	Weimar	Europe/Berlin
11.18709	48.73218	DE	Neuburg an der Donau	Europe/Berlin
126.28333	45.35	CN	Shuangcheng	Asia/Shanghai
35.23388	31.78336	PS	East Jerusalem	Asia/Hebron
-78.19444	38.91817	US	Front Royal	America/New_York
65.50917	44.85278	KZ	Kyzylorda	Asia/Qyzylorda
76.03889	18.18158	IN	Osmanabad	Asia/Kolkata
-120.93549	37.73604	US	Riverbank	America/Los_Angeles
123.33471	8.56697	PH	Dipolog	Asia/Manila
9.20427	48.49144	DE	Reutlingen	Europe/Berlin
16.86194	54.58048	PL	Ustka	Europe/Warsaw
-73.95097	40.72371	US	Greenpoint	America/New_York
4.74161	7.62789	NG	Ilesa	Africa/Lagos
34.3869	11.8659	SD	Ar Ruseris	Africa/Khartoum
13.373637	49.73843	CZ	Plzeň	Europe/Prague
18.262524	49.820923	CZ	Ostrava	Europe/Prague
8.77069	50.80904	DE	Marburg an der Lahn	Europe/Berlin
-89.99038	38.58894	US	Fairview Heights	America/Chicago
11.412	45.50369	IT	Montecchio Maggiore-Alte Ceccato	Europe/Rome
24.99798	-8.73508	CD	Kamina	Africa/Lubumbashi
46.58333	-21.15	MG	Ikalamavony	Indian/Antananarivo
15.07041	37.49223	IT	Catania	Europe/Rome
120.4861	16.0438	PH	Manaoag	Asia/Manila
117.27583	35.64889	CN	Sishui	Asia/Shanghai
109.05389	-7.51611	ID	Wangon	Asia/Jakarta
5.22778	51.955	NL	Culemborg	Europe/Amsterdam
7.02238	52.21099	DE	Gronau	Europe/Berlin
117.63083	35.50056	CN	Pingyi	Asia/Shanghai
9.32241	44.31771	IT	Chiavari	Europe/Rome
-82.07842	26.91756	US	Punta Gorda Isles	America/New_York
117.7	35.85	CN	Dongdu	Asia/Shanghai
9.00472	4.2475	CM	Idenao	Africa/Douala
121.12251	14.62578	PH	Antipolo	Asia/Manila
-74.13653	40.63316	US	Port Richmond	America/New_York
104.1451	15.79408	TH	Yasothon	Asia/Bangkok
137.23333	35.8	JP	Gero	Asia/Tokyo
-156.47432	20.88953	US	Kahului	Pacific/Honolulu
-59.13316	-37.32167	AR	Tandil	America/Argentina/Buenos_Aires
-1.64295	42.8139	ES	Segundo Ensanche	Europe/Madrid
14.72443	36.92574	IT	Ragusa	Europe/Rome
-79.62603	8.88988	PA	Veracruz	America/Panama
101.18445	13.44581	TH	Phanat Nikhom	Asia/Bangkok
6.26764	4.92675	NG	Yenagoa	Africa/Lagos
122.20488	29.98869	CN	Zhoushan	Asia/Shanghai
83.36889	26.76628	IN	Gorakhpur	Asia/Kolkata
30.96755	49.07866	UA	Zvenihorodka	Europe/Kyiv
1.04945	35.06544	DZ	Frenda	Africa/Algiers
112.19028	30.35028	CN	Jingzhou	Asia/Shanghai
5.37429	51.03427	BE	Houthalen	Europe/Brussels
-81.26367	28.90054	US	Deltona	America/New_York
76.32756	9.57046	IN	Kalavoor	Asia/Kolkata
-81.23621	33.98154	US	Lexington	America/New_York
33.34864	46.75451	UA	Nova Kakhovka	Europe/Kyiv
39.28333	-10.33333	TZ	Nyangao	Africa/Dar_es_Salaam
122.74754	40.85158	CN	Haicheng	Asia/Shanghai
-58.44417	-3.14306	BR	Itacoatiara	America/Manaus
136.51667	35.0	JP	Komono	Asia/Tokyo
-73.89875	40.93121	US	Yonkers	America/New_York
74.4818	30.21121	IN	Malaut	Asia/Kolkata
98.6738	3.7278	ID	Labuhan Deli	Asia/Jakarta
15.16554	-4.5833	CD	Kasangulu	Africa/Kinshasa
150.60036	-34.88422	AU	Nowra	Australia/Sydney
-91.06177	33.41012	US	Greenville	America/Chicago
123.758	10.20898	PH	Naga	Asia/Manila
20.89389	42.62833	XK	Glogovac	Europe/Belgrade
4.63031	43.67681	FR	Arles	Europe/Paris
27.46153	-21.44236	BW	Tonota	Africa/Gaborone
3.20639	50.74497	BE	Mouscron	Europe/Brussels
-68.30472	9.91861	VE	Tinaquillo	America/Caracas
85.37752	22.10194	IN	Barbil	Asia/Kolkata
-53.13722	-22.92306	BR	Loanda	America/Sao_Paulo
8.55552	40.72586	IT	Sassari	Europe/Rome
17.8031	48.43174	SK	Hlohovec	Europe/Bratislava
-8.33147	41.20485	PT	Paredes	Europe/Lisbon
-77.02303	38.70734	US	Fort Washington	America/New_York
105.75635	10.29085	VN	Sa Dec	Asia/Ho_Chi_Minh
75.35927	12.04161	IN	Talipparamba	Asia/Kolkata
37.55	6.03333	ET	Arba Minch	Africa/Addis_Ababa
-117.54866	33.93113	US	Norco	America/Los_Angeles
-4.21376	55.82885	GB	Rutherglen	Europe/London
75.11937	20.88098	IN	Parola	Asia/Kolkata
13.63617	50.50301	CZ	Most	Europe/Prague
-0.2	51.65	GB	Barnet	Europe/London
25.34244	50.75932	UA	Lutsk	Europe/Kyiv
9.22796	48.46458	DE	Pfullingen	Europe/Berlin
-46.99583	-22.97056	BR	Valinhos	America/Sao_Paulo
-3.05814	53.00974	GB	Rhosllanerchrugog	Europe/London
40.74357	37.31309	TR	Mardin	Europe/Istanbul
-73.20483	41.16704	US	Bridgeport	America/New_York
24.95034	60.18427	FI	Kallio	Europe/Helsinki
76.56719	24.41288	IN	Aklera	Asia/Kolkata
38.12408	53.77166	RU	Bogoroditsk	Europe/Moscow
-71.29144	41.54566	US	Middletown	America/New_York
6.74549	49.5099	DE	Losheim	Europe/Berlin
-9.24671	38.72706	PT	Carnaxide	Europe/Lisbon
38.16694	54.84444	RU	Kashira	Europe/Moscow
19.61222	44.97639	RS	Sremska Mitrovica	Europe/Belgrade
144.23058	-5.85746	PG	Mount Hagen	Pacific/Port_Moresby
86.00214	46.51872	CN	Hoxtolgay	Asia/Urumqi
-70.6996	-33.59217	CL	San Bernardo	America/Santiago
86.79271	25.92127	IN	Madhipura	Asia/Kolkata
71.57118	32.87533	PK	Daud Khel	Asia/Karachi
4.08282	36.61954	DZ	Beni Douala	Africa/Algiers
4.62744	36.06386	DZ	El Achir	Africa/Algiers
17.250879	49.593777	CZ	Olomouc	Europe/Prague
18.69303	12.18441	TD	Mongo	Africa/Ndjamena
-102.04897	19.64745	MX	Paracho de Verduzco	America/Mexico_City
145.06667	-37.88333	AU	Carnegie	Australia/Melbourne
113.82465	23.29549	CN	Licheng	Asia/Shanghai
-2.1875	51.26	GB	Westbury	Europe/London
39.25	-6.8	TZ	Magomeni	Africa/Dar_es_Salaam
20.91361	41.92361	MK	Bogovinje	Europe/Skopje
-60.93173	-31.4488	AR	Esperanza	America/Argentina/Cordoba
111.73861	35.20889	CN	Changzhi	Asia/Shanghai
5.55575	46.67535	FR	Lons-le-Saunier	Europe/Paris
-95.30106	32.35126	US	Tyler	America/Chicago
-74.73584	5.20856	CO	Honda	America/Bogota
76.35484	10.10649	IN	Alwaye	Asia/Kolkata
-117.14392	32.9156	US	Mira Mesa	America/Los_Angeles
70.91106	29.38242	PK	Alipur	Asia/Karachi
-48.62789	-17.74431	BR	Caldas Novas	America/Sao_Paulo
88.28637	23.07492	IN	Pandua	Asia/Kolkata
-96.39774	30.16688	US	Brenham	America/Chicago
78.27539	12.95629	IN	Robertsonpet	Asia/Kolkata
24.75	55.25	LT	Ukmerge	Europe/Vilnius
-86.19903	11.84962	NI	Jinotepe	America/Managua
9.5586	54.52156	DE	Schleswig	Europe/Berlin
8.73812	41.91886	FR	Ajaccio	Europe/Paris
-65.71875	-21.44345	BO	Tupiza	America/La_Paz
9.02596	48.21644	DE	Albstadt	Europe/Berlin
-5.55835	42.64685	ES	Villaquilambre	Europe/Madrid
76.11996	11.12018	IN	Manjeri	Asia/Kolkata
32.86389	53.95278	RU	Roslavl‚Äô	Europe/Moscow
76.12647	32.55531	IN	Chamba	Asia/Kolkata
-74.95472	10.98778	CO	Puerto Colombia	America/Bogota
-76.51552	39.32011	US	Rosedale	America/New_York
-121.74052	38.54491	US	Davis	America/Los_Angeles
-60.47389	-34.64167	AR	Chacabuco	America/Argentina/Buenos_Aires
-119.0376	34.21639	US	Camarillo	America/Los_Angeles
-5.53715	50.11861	GB	Penzance	Europe/London
8.96317	48.35149	DE	Hechingen	Europe/Berlin
-100.88023	20.21322	MX	Salvatierra	America/Mexico_City
27.25	42.7	BG	Aytos	Europe/Sofia
-98.15529	26.18924	US	San Juan	America/Chicago
-72.97261	43.61062	US	Rutland	America/New_York
34.34691	61.78491	RU	Petrozavodsk	Europe/Moscow
13.10984	51.30001	DE	Oschatz	Europe/Berlin
29.00974	-24.19436	ZA	Mokopane	Africa/Johannesburg
-80.08199	35.88264	US	Thomasville	America/New_York
-61.51889	10.66668	TT	Port of Spain	America/Port_of_Spain
-77.55777	37.52487	US	Bon Air	America/New_York
121.3152	14.14989	PH	Calauan	Asia/Manila
28.28489	48.15659	MD	Soroca	Europe/Chisinau
112.73333	38.40917	CN	Xinzhou	Asia/Shanghai
-71.10077	18.20854	DO	Santa Cruz de Barahona	America/Santo_Domingo
-1.29243	53.49389	GB	Mexborough	Europe/London
-75.69947	8.79577	CO	San Carlos	America/Bogota
6.8625	51.47805	DE	Oberhausen	Europe/Berlin
-83.2321	33.08014	US	Milledgeville	America/New_York
70.96699	30.46907	PK	Kot Addu	Asia/Karachi
4.7934	45.69558	FR	Saint-Genis-Laval	Europe/Paris
12.70038	45.9836	IT	Cordenons	Europe/Rome
31.3237	52.4089	BY	Dobrush	Europe/Minsk
65.93249	36.21544	AF	Sar-e Pul	Asia/Kabul
114.68333	23.73333	CN	Heyuan	Asia/Shanghai
1.33467	43.61058	FR	Colomiers	Europe/Paris
120.33063	37.65181	CN	Longgang	Asia/Shanghai
44.53333	-22.9	MG	Sakaraha	Indian/Antananarivo
-2.68333	43.31667	ES	Gernika-Lumo	Europe/Madrid
-72.22625	18.57677	HT	Croix-des-Bouquets	America/Port-au-Prince
37.92792	53.93361	RU	Kireyevsk	Europe/Moscow
38.01667	-5.41667	TZ	Chanika	Africa/Dar_es_Salaam
128.9889	37.1759	KR	T‚Äôaebaek	Asia/Seoul
17.80774	40.55851	IT	Mesagne	Europe/Rome
13.31783	52.61131	DE	Hermsdorf	Europe/Berlin
-118.25508	34.14251	US	Glendale	America/Los_Angeles
-4.22398	57.47908	GB	Inverness	Europe/London
-1.08593	50.79205	GB	Southsea	Europe/London
-102.36764	31.84568	US	Odessa	America/Chicago
2.35739	41.63976	ES	Cardedeu	Europe/Madrid
145.18333	-37.9	AU	Wheelers Hill	Australia/Melbourne
123.99333	12.97389	PH	Sorsogon	Asia/Manila
140.72287	53.14657	RU	Nikolayevsk-on-Amure	Asia/Vladivostok
128.62667	34.8825	KR	Sinhyeon	Asia/Seoul
25.8191	53.5942	BY	Novogrudok	Europe/Minsk
-13.2356	8.48714	SL	Freetown	Africa/Freetown
-52.35558	-14.66463	BR	Nova Xavantina	America/Cuiaba
120.97844	14.8361	PH	Guyong	Asia/Manila
-83.48216	42.30865	US	Canton	America/Detroit
5.4384	43.2907	FR	Marseille 11	Europe/Paris
15.28318	-4.26613	CG	Brazzaville	Africa/Brazzaville
-76.43941	39.33427	US	Middle River	America/New_York
1.15597	51.78967	GB	Clacton-on-Sea	Europe/London
-73.99681	40.94065	US	Dumont	America/New_York
10.7	4.96667	CM	Tonga	Africa/Douala
55.4504	-20.88231	RE	Saint-Denis	Indian/Reunion
-69.08333	-16.25	PE	Yunguyo	America/Lima
113.13148	23.02677	CN	Foshan	Asia/Shanghai
-3.53261	40.42386	ES	San Fernando de Henares	Europe/Madrid
109.22921	34.65918	CN	Yanliang	Asia/Shanghai
3.50309	34.15429	DZ	Messaad	Africa/Algiers
-87.66561	41.8542	US	Lower West Side	America/Chicago
-48.52333	-0.71667	BR	Soure	America/Belem
120.14278	32.50611	CN	Jiangyan	Asia/Shanghai
34.86563	31.92923	IL	Ramla	Asia/Jerusalem
0.75	52.41667	GB	Thetford	Europe/London
-51.87389	-23.44361	BR	Sarandi	America/Sao_Paulo
77.5609	11.00599	IN	Kangayam	Asia/Kolkata
124.3697	9.6531	PH	Jagna	Asia/Manila
129.96972	33.4425	JP	Karatsu	Asia/Tokyo
69.49015	56.11281	RU	Ishim	Asia/Yekaterinburg
14.41854	50.073658	CZ	Praha	Europe/Prague
14.34085	40.87363	IT	Volla	Europe/Rome
-120.00865	46.32374	US	Sunnyside	America/Los_Angeles
112.01667	-7.81667	ID	Kediri	Asia/Jakarta
-48.29694	-20.87306	BR	Viradouro	America/Sao_Paulo
75.96976	15.73628	IN	Gajendragarh	Asia/Kolkata
-42.29444	-4.24444	BR	Barras	America/Fortaleza
13.58357	-1.63333	GA	Franceville	Africa/Libreville
